experience_years,ai_tool_usage_hours_per_week,tasks_automated_percent,manual_work_hours_per_week,learning_time_hours_per_week,meeting_hours_per_week,collaboration_hours_per_week,error_rate_percent,task_complexity_score,focus_hours_per_day,work_life_balance_score,burnout_risk_score,job_role_Analyst,job_role_Designer,job_role_Developer,job_role_Manager,job_role_Marketer,job_role_Writer,deadline_pressure_level_High,deadline_pressure_level_Low,deadline_pressure_level_Medium,productivity_score
9,7.2,10.5,30.3,0.4,17.8,11.3,4.91,7,2.5,1.0,10.0,0,0,0,1,0,0,1,0,0,39.9
14,9.4,22.6,27.5,2.6,7.0,9.0,2.64,2,4.3,5.0,7.13,0,0,0,0,1,0,0,1,0,75.7
12,10.8,21.1,22.4,3.0,1.5,7.1,0.35,9,6.5,7.3,5.43,1,0,0,0,0,0,0,1,0,82.7
11,18.6,52.3,10.0,1.7,6.9,9.4,4.4,2,5.3,7.1,5.58,0,0,1,0,0,0,0,1,0,85.4
20,7.3,16.5,37.7,3.2,29.3,20.0,0.1,3,1.0,1.0,10.0,0,0,0,1,0,0,1,0,0,50.8
15,13.2,32.5,10.9,1.0,2.3,6.5,2.11,6,6.5,9.4,3.88,1,0,0,0,0,0,0,1,0,78.4
8,7.3,17.3,28.7,4.2,1.0,8.8,3.07,1,6.9,6.8,5.82,1,0,0,0,0,0,0,1,0,70.3
15,11.0,26.6,23.7,2.9,5.4,8.4,2.88,10,7.3,3.0,10.0,1,0,0,0,0,0,1,0,0,71.5
5,7.8,17.8,25.8,0.3,5.3,3.8,4.36,9,5.5,3.3,10.0,1,0,0,0,0,0,1,0,0,49.2
14,13.0,34.6,12.8,0.9,3.1,7.7,4.77,2,6.3,5.8,9.83,0,0,1,0,0,0,1,0,0,66.7
17,11.2,33.4,23.9,3.2,3.6,8.4,0.13,6,7.2,4.8,8.92,1,0,0,0,0,0,0,0,1,89.5
13,13.8,37.8,16.4,0.7,5.4,8.2,0.84,3,4.3,5.6,8.34,0,0,0,0,0,1,0,0,1,75.6
8,15.8,35.8,21.5,2.5,6.2,9.3,2.67,8,5.5,5.1,7.06,0,0,1,0,0,0,0,1,0,79.9
14,12.8,36.4,18.5,3.1,1.6,6.5,3.25,5,6.0,4.8,10.0,0,0,1,0,0,0,1,0,0,75.5
20,4.2,2.5,29.7,1.6,1.0,6.1,2.62,5,6.4,4.3,10.0,1,0,0,0,0,0,1,0,0,63.5
18,2.9,3.8,26.3,4.1,2.8,9.6,2.51,6,4.6,5.0,10.0,0,1,0,0,0,0,1,0,0,51.0
7,9.2,25.4,30.1,2.2,3.4,9.0,0.1,5,6.2,3.8,9.66,0,0,1,0,0,0,0,0,1,70.4
10,2.9,8.6,17.7,2.6,5.8,5.3,2.83,2,5.3,9.4,3.88,0,1,0,0,0,0,0,1,0,62.8
13,6.6,5.0,27.5,2.3,20.0,14.9,1.53,7,2.9,1.0,10.0,0,0,0,1,0,0,1,0,0,49.4
5,14.3,36.3,22.0,1.4,3.5,8.5,1.51,2,5.1,3.1,10.0,1,0,0,0,0,0,1,0,0,66.7
18,7.5,7.1,36.5,0.4,13.5,11.4,3.8,8,3.3,1.0,10.0,0,0,0,1,0,0,0,0,1,48.7
20,10.6,27.5,24.3,0.1,4.2,5.6,2.09,4,6.9,4.7,9.0,0,0,0,0,1,0,0,0,1,88.1
20,6.5,14.6,26.9,2.8,7.1,6.2,0.68,8,4.8,4.4,9.23,0,1,0,0,0,0,0,0,1,64.4
14,8.0,33.3,13.2,2.8,4.6,5.2,0.1,9,5.2,8.0,6.55,0,1,0,0,0,0,0,0,1,76.4
14,4.1,1.1,26.1,0.3,17.3,10.6,4.58,2,3.6,2.6,10.0,0,0,0,1,0,0,0,0,1,38.9
5,7.3,19.6,24.7,2.3,7.0,4.4,4.09,8,4.7,3.2,10.0,0,0,0,0,1,0,1,0,0,51.0
16,23.0,58.4,10.9,2.5,2.4,5.8,0.77,5,4.6,6.9,5.73,0,0,0,0,0,1,0,1,0,100.0
20,5.3,0.0,27.5,1.2,2.3,5.6,4.32,3,6.3,7.2,5.51,0,1,0,0,0,0,0,1,0,68.3
7,15.7,31.5,25.1,0.6,2.3,4.6,4.18,8,7.2,2.2,10.0,0,0,1,0,0,0,1,0,0,60.8
9,9.9,25.7,23.5,0.8,3.8,7.6,4.93,5,6.1,6.7,5.88,1,0,0,0,0,0,0,1,0,64.2
18,11.5,14.2,18.3,3.2,5.0,7.8,2.72,10,6.2,4.3,10.0,1,0,0,0,0,0,1,0,0,65.9
19,13.5,29.7,23.8,0.6,5.6,6.7,1.04,7,4.2,2.3,10.0,0,0,0,0,1,0,1,0,0,67.1
17,9.7,34.8,15.8,1.7,4.1,8.9,0.47,10,4.2,8.6,4.48,0,0,0,0,0,1,0,1,0,85.6
13,8.3,20.7,25.3,2.9,6.3,9.3,0.1,8,4.6,6.0,6.39,1,0,0,0,0,0,0,1,0,83.3
12,4.9,25.4,15.0,2.0,6.0,10.1,0.1,4,5.5,9.5,3.8,0,1,0,0,0,0,0,1,0,88.7
11,7.3,16.6,36.8,4.5,16.5,13.8,0.1,7,2.4,1.0,10.0,0,0,0,1,0,0,0,0,1,52.2
6,6.1,16.6,27.8,2.4,3.9,8.4,2.54,9,4.4,3.6,10.0,1,0,0,0,0,0,1,0,0,48.4
7,18.8,49.6,13.3,2.8,2.9,7.7,4.6,10,5.5,7.2,5.5,0,0,1,0,0,0,0,1,0,81.2
6,12.0,23.7,26.7,1.2,7.9,9.1,1.57,3,3.8,1.3,10.0,0,0,1,0,0,0,1,0,0,61.3
10,2.3,10.5,17.2,2.1,2.7,6.7,0.31,10,5.9,9.0,5.83,0,1,0,0,0,0,0,0,1,81.3
6,7.6,18.7,18.0,1.2,12.6,11.6,1.69,7,1.9,3.4,10.0,0,0,0,1,0,0,1,0,0,46.5
14,4.0,5.5,30.4,1.6,4.7,6.7,2.3,10,4.6,6.2,6.25,0,1,0,0,0,0,0,1,0,66.2
17,5.3,15.0,21.1,1.1,6.2,6.3,1.44,4,5.6,6.4,7.76,0,0,0,1,0,0,0,0,1,77.0
3,6.1,18.3,22.0,0.5,3.7,9.7,4.67,10,4.7,5.1,10.0,0,0,0,0,1,0,1,0,0,35.4
13,10.0,30.1,15.1,3.3,5.5,11.3,2.85,6,3.6,6.8,7.44,0,0,0,0,1,0,0,0,1,64.9
13,13.8,30.6,25.9,3.0,1.0,2.8,0.95,1,5.7,5.8,6.54,1,0,0,0,0,0,0,1,0,79.0
4,6.4,26.9,10.0,1.0,4.0,4.6,2.12,8,6.2,10.0,3.22,1,0,0,0,0,0,0,1,0,78.5
13,6.6,17.4,14.7,1.1,7.7,10.0,3.48,8,4.5,7.2,7.14,0,0,0,0,1,0,0,0,1,74.1
20,18.0,35.8,19.0,0.6,4.4,8.1,2.48,6,4.0,5.6,6.68,0,0,0,0,0,1,0,1,0,74.1
20,12.5,31.0,18.9,1.3,1.0,4.9,1.92,7,6.2,7.9,4.99,0,0,1,0,0,0,0,1,0,98.8
15,16.5,38.0,26.2,0.6,6.7,8.8,0.8,8,4.1,3.6,8.16,0,0,0,0,0,1,0,1,0,76.2
1,6.7,8.9,32.8,2.2,11.2,9.7,3.18,6,4.7,1.8,10.0,0,0,0,1,0,0,0,0,1,38.3
15,0.7,3.7,26.3,1.9,9.1,11.2,0.1,5,3.3,5.5,8.42,0,0,0,0,1,0,0,0,1,71.1
11,4.4,10.9,30.1,0.8,18.5,15.0,0.39,3,2.2,1.2,10.0,0,0,0,1,0,0,0,0,1,40.6
1,14.1,37.7,22.4,2.1,4.6,7.8,0.68,2,4.2,4.2,9.37,0,0,1,0,0,0,0,0,1,68.3
20,0.9,0.6,38.6,1.5,22.3,17.7,0.79,7,2.1,1.0,10.0,0,0,0,1,0,0,0,0,1,51.8
2,8.0,17.3,33.4,1.2,4.5,10.8,0.61,8,4.1,1.5,10.0,1,0,0,0,0,0,1,0,0,52.8
19,6.7,21.2,21.1,1.8,9.2,12.5,3.18,7,3.3,5.2,8.62,0,0,0,1,0,0,0,0,1,57.5
8,4.9,11.6,21.1,2.2,8.8,12.6,1.14,6,2.9,4.3,10.0,0,1,0,0,0,0,1,0,0,44.0
17,9.3,22.5,24.3,1.4,1.1,4.1,0.87,2,5.5,7.3,5.43,1,0,0,0,0,0,0,1,0,82.5
20,12.3,33.1,20.5,1.6,3.5,7.2,2.25,2,5.3,3.9,10.0,0,0,0,0,1,0,1,0,0,77.1
20,12.8,31.7,21.1,1.7,3.8,7.0,0.1,10,4.9,5.1,8.71,0,0,0,0,0,1,0,0,1,71.2
13,21.1,55.4,10.0,4.2,6.1,7.5,0.1,6,5.7,3.7,10.0,0,0,0,0,0,1,1,0,0,86.4
9,9.8,24.2,27.1,0.3,6.1,4.8,4.26,4,4.3,3.7,9.73,0,0,0,0,1,0,0,0,1,57.1
7,1.7,2.9,29.9,1.1,3.8,7.1,1.25,2,6.1,5.6,8.32,1,0,0,0,0,0,0,0,1,60.3
10,18.6,47.6,10.0,2.6,5.7,5.7,0.54,2,5.6,7.4,5.36,0,0,1,0,0,0,0,1,0,100.0
8,21.6,53.6,12.5,1.2,1.0,6.4,3.16,1,4.9,7.2,5.51,0,0,1,0,0,0,0,1,0,87.0
9,3.1,8.3,32.0,2.9,22.2,15.2,0.56,9,1.0,1.0,10.0,0,0,0,1,0,0,0,0,1,41.9
2,10.7,30.0,21.1,1.5,10.2,10.1,5.04,1,5.0,4.0,9.52,1,0,0,0,0,0,0,0,1,51.9
11,8.0,20.0,20.1,5.3,3.4,7.9,2.11,5,4.9,5.1,10.0,0,0,1,0,0,0,1,0,0,58.2
1,8.5,15.9,25.8,1.4,5.1,8.6,4.66,3,4.8,3.2,10.0,0,1,0,0,0,0,1,0,0,28.6
7,0.0,3.2,36.7,1.2,6.7,8.0,1.74,9,5.0,2.1,10.0,0,0,0,0,0,1,1,0,0,56.0
4,10.9,34.1,24.5,0.9,2.0,4.9,2.15,8,6.6,3.6,10.0,0,0,0,0,1,0,1,0,0,61.6
19,16.9,55.2,10.6,0.9,10.0,6.1,3.66,6,4.4,6.6,5.95,0,0,1,0,0,0,0,1,0,99.5
18,3.9,7.0,22.0,0.5,7.6,7.9,3.74,8,5.3,4.6,10.0,0,1,0,0,0,0,1,0,0,50.1
9,10.3,25.2,15.6,1.2,1.0,6.6,2.7,5,5.7,7.8,6.71,0,0,0,0,1,0,0,0,1,68.1
14,7.7,21.8,23.0,2.6,5.5,7.0,3.58,1,3.1,7.0,5.67,0,1,0,0,0,0,0,1,0,59.2
11,17.4,43.3,16.9,4.0,8.3,10.0,3.21,8,3.7,5.4,6.86,1,0,0,0,0,0,0,1,0,72.8
4,6.7,16.0,18.6,0.7,3.9,3.9,0.52,8,3.3,7.2,7.15,0,1,0,0,0,0,0,0,1,54.9
2,5.8,11.1,27.9,3.4,4.0,7.2,0.88,3,4.7,6.6,5.96,1,0,0,0,0,0,0,1,0,66.4
7,11.1,25.8,20.9,1.2,7.6,7.7,0.4,5,3.1,3.1,10.0,0,0,0,0,1,0,1,0,0,56.6
3,14.7,33.8,26.6,0.9,1.5,3.9,3.64,10,5.4,3.8,9.67,0,0,1,0,0,0,0,0,1,62.8
7,1.3,10.8,25.9,1.8,6.0,5.9,1.44,8,5.1,4.7,10.0,0,1,0,0,0,0,1,0,0,59.9
7,7.8,10.5,29.3,5.8,1.0,5.1,0.1,3,4.8,3.5,10.0,1,0,0,0,0,0,1,0,0,55.7
2,14.8,38.0,26.3,1.2,4.5,2.5,1.86,6,6.3,4.6,7.44,0,0,0,0,0,1,0,1,0,74.0
5,14.5,32.7,18.4,0.2,1.6,4.2,1.69,5,7.3,7.4,5.37,0,0,0,0,0,1,0,1,0,88.8
8,7.0,6.9,39.8,1.4,8.3,11.1,3.65,8,3.2,2.2,9.21,0,1,0,0,0,0,0,1,0,41.6
16,7.0,15.8,20.8,1.0,22.9,18.6,2.15,6,1.2,1.8,10.0,0,0,0,1,0,0,0,0,1,48.3
7,14.3,39.2,15.7,0.6,6.7,4.4,4.31,9,4.0,3.8,10.0,0,0,0,0,0,1,1,0,0,56.7
20,9.1,30.6,19.7,0.3,14.5,12.2,0.65,9,2.4,5.2,7.0,0,0,0,1,0,0,0,1,0,73.9
16,6.0,8.1,35.4,3.2,6.8,11.7,0.1,7,5.2,2.5,10.0,0,1,0,0,0,0,0,0,1,64.2
2,23.1,55.0,10.2,1.9,6.5,10.5,3.85,8,6.2,4.6,9.09,0,0,1,0,0,0,0,0,1,66.0
16,16.4,33.2,22.2,1.4,5.4,6.3,0.1,5,6.2,5.0,7.14,0,0,1,0,0,0,0,1,0,91.5
7,13.7,34.7,18.0,0.8,1.0,7.2,1.6,4,6.5,7.8,5.06,0,0,1,0,0,0,0,1,0,88.4
13,7.4,12.6,23.8,0.4,7.5,4.1,2.26,2,5.7,3.3,10.0,1,0,0,0,0,0,1,0,0,67.0
2,18.9,44.1,17.6,0.9,3.5,5.1,3.36,2,4.3,3.0,10.0,0,0,0,0,0,1,1,0,0,56.6
10,7.7,23.8,23.7,1.4,4.9,9.4,2.08,9,7.2,3.9,10.0,1,0,0,0,0,0,1,0,0,67.6
16,17.5,49.8,22.3,1.4,6.1,7.7,3.66,9,4.9,4.5,7.5,0,0,0,0,0,1,0,1,0,79.5
16,6.6,20.3,21.6,2.3,16.9,12.1,3.63,3,3.4,4.7,7.36,0,0,0,1,0,0,0,1,0,65.2
19,24.3,58.3,14.1,3.3,2.5,5.1,2.5,8,4.3,2.8,10.0,0,0,1,0,0,0,1,0,0,76.8
20,0.0,0.0,38.7,0.1,18.3,15.7,3.32,10,1.3,1.0,10.0,0,0,0,1,0,0,1,0,0,37.9
14,25.3,63.6,15.0,1.1,1.0,2.8,2.88,2,5.9,4.2,9.38,0,0,1,0,0,0,0,0,1,86.7
20,16.8,48.4,18.6,3.4,6.8,8.8,0.1,8,6.1,2.4,10.0,0,0,1,0,0,0,1,0,0,93.4
1,3.3,5.8,28.2,5.9,7.4,13.0,0.1,4,3.8,3.3,10.0,0,1,0,0,0,0,1,0,0,43.1
20,1.6,15.1,29.1,2.2,14.3,11.5,2.21,10,3.1,1.8,10.0,0,0,0,1,0,0,1,0,0,63.5
7,8.8,22.3,24.7,1.0,3.7,8.1,3.52,3,6.0,5.2,8.63,0,0,0,0,1,0,0,0,1,67.6
9,19.9,56.7,10.0,1.4,8.2,9.4,3.3,7,4.2,5.0,8.79,0,0,1,0,0,0,0,0,1,69.2
8,17.1,30.5,17.5,0.7,2.6,8.6,2.77,2,5.9,5.2,8.63,0,0,1,0,0,0,0,0,1,69.1
16,10.0,25.3,10.8,2.0,8.4,6.6,0.15,5,2.9,7.2,7.15,0,0,1,0,0,0,0,0,1,72.8
18,6.6,12.1,19.5,2.3,6.1,2.0,3.29,2,5.7,8.0,4.93,0,1,0,0,0,0,0,1,0,67.9
4,20.0,48.1,14.4,1.3,4.1,8.2,5.18,5,5.8,3.4,10.0,0,0,1,0,0,0,1,0,0,60.0
1,11.1,31.9,19.7,3.5,5.2,6.1,2.53,10,4.7,5.5,8.41,1,0,0,0,0,0,0,0,1,55.6
15,4.0,11.9,31.4,2.6,5.8,9.9,2.89,3,5.2,5.7,6.62,0,1,0,0,0,0,0,1,0,64.9
17,9.5,19.4,20.3,4.4,5.5,6.5,1.04,5,4.2,7.2,5.52,0,1,0,0,0,0,0,1,0,80.7
12,2.6,3.7,24.7,1.3,6.0,6.0,3.48,4,6.1,7.7,5.15,0,1,0,0,0,0,0,1,0,59.6
12,14.5,39.6,19.3,4.5,6.2,6.6,1.29,6,5.8,4.5,9.15,1,0,0,0,0,0,0,0,1,76.8
11,5.2,10.2,30.9,2.4,7.7,12.0,1.36,5,3.2,3.5,9.88,0,0,0,1,0,0,0,0,1,50.0
15,8.8,24.6,21.1,1.5,6.8,6.5,1.61,9,5.3,3.8,10.0,0,0,1,0,0,0,1,0,0,71.7
18,18.4,33.0,27.5,2.7,1.0,6.6,2.14,9,5.9,4.3,7.66,0,0,1,0,0,0,0,1,0,80.6
11,3.5,8.7,30.6,4.9,11.1,10.4,1.77,5,3.1,4.7,7.36,0,0,0,1,0,0,0,1,0,46.7
7,1.8,0.0,26.6,4.7,2.1,5.4,0.39,8,4.4,8.4,4.63,0,1,0,0,0,0,0,1,0,61.3
13,5.1,12.8,29.7,2.3,19.2,15.1,2.91,2,1.9,2.5,8.99,0,0,0,1,0,0,0,1,0,41.5
3,5.2,12.8,19.0,1.3,1.4,5.2,0.23,2,5.4,9.6,3.74,0,0,1,0,0,0,0,1,0,65.5
5,7.6,12.1,28.2,6.9,5.3,9.7,0.1,1,6.3,2.7,10.0,0,0,0,0,0,1,1,0,0,54.7
16,6.8,10.5,30.8,3.1,5.9,10.4,0.69,7,4.9,2.1,10.0,1,0,0,0,0,0,1,0,0,59.3
1,15.7,35.9,26.6,6.8,5.9,7.6,0.1,1,5.0,1.0,10.0,1,0,0,0,0,0,1,0,0,59.9
15,13.1,28.1,11.1,1.3,5.5,10.7,0.61,1,4.6,5.6,9.98,0,0,0,0,1,0,1,0,0,69.8
14,9.1,20.6,31.2,0.4,6.0,8.7,2.74,10,4.7,2.9,10.0,0,0,1,0,0,0,0,0,1,55.8
9,14.6,45.5,21.7,1.1,1.0,5.2,3.53,6,5.9,6.7,5.89,0,0,1,0,0,0,0,1,0,82.0
2,6.7,24.1,33.1,2.4,3.8,8.7,2.69,5,5.0,3.6,9.82,0,0,0,0,1,0,0,0,1,48.3
6,25.0,58.2,14.2,1.8,5.6,2.6,2.73,7,7.4,1.8,10.0,0,0,1,0,0,0,1,0,0,74.4
11,7.8,18.9,27.2,0.9,6.9,8.4,1.17,1,4.8,4.0,9.51,0,0,0,0,1,0,0,0,1,61.2
9,7.9,15.1,33.5,3.4,9.7,11.2,0.1,9,4.9,1.0,10.0,0,0,0,1,0,0,1,0,0,55.1
16,20.5,43.0,27.0,1.8,2.2,7.7,0.68,9,6.4,3.6,8.18,0,0,1,0,0,0,0,1,0,86.7
7,9.3,19.6,18.2,1.6,7.3,7.3,1.93,2,4.7,4.3,10.0,1,0,0,0,0,0,1,0,0,63.3
5,0.5,4.5,21.6,0.9,9.1,11.5,1.79,3,4.5,6.7,7.52,0,1,0,0,0,0,0,0,1,45.8
17,13.8,34.7,24.1,0.1,1.4,4.9,2.67,10,5.9,3.2,10.0,0,0,0,0,1,0,1,0,0,78.1
3,1.4,2.6,34.0,4.3,13.9,16.2,0.68,1,4.7,3.7,8.11,0,0,0,1,0,0,0,1,0,48.7
1,12.9,39.5,15.1,4.7,1.0,7.2,2.63,2,6.3,8.8,4.34,0,0,1,0,0,0,0,1,0,67.1
18,6.3,20.4,25.0,2.1,18.5,12.8,3.6,8,2.8,1.0,10.0,0,0,0,1,0,0,1,0,0,58.7
17,18.1,46.3,20.7,1.1,6.3,9.5,4.63,9,4.7,4.7,7.36,0,0,1,0,0,0,0,1,0,71.3
17,8.3,25.7,25.9,1.9,3.7,11.1,0.6,2,5.7,3.5,10.0,0,1,0,0,0,0,1,0,0,84.0
5,3.3,0.0,28.8,2.7,13.8,12.4,1.21,6,3.4,4.5,7.5,1,0,0,0,0,0,0,1,0,41.8
6,8.5,26.1,34.0,3.0,3.6,6.2,4.08,4,5.8,4.5,7.52,0,0,0,0,1,0,0,1,0,58.6
7,13.7,38.4,10.0,0.2,7.7,8.4,4.64,6,4.9,6.6,7.58,0,0,0,0,0,1,0,0,1,62.0
1,27.1,79.3,10.0,1.1,1.0,3.2,3.14,6,6.7,5.0,8.79,0,0,1,0,0,0,0,0,1,92.3
12,4.0,17.5,20.0,1.9,3.7,8.8,0.49,6,6.3,7.6,6.86,0,1,0,0,0,0,0,0,1,71.9
9,7.0,11.0,30.9,0.5,3.8,6.2,0.46,3,4.4,4.1,9.45,0,1,0,0,0,0,0,0,1,58.4
6,9.5,31.8,20.0,2.2,3.8,5.0,1.07,7,5.8,4.7,10.0,1,0,0,0,0,0,1,0,0,58.9
10,19.8,48.5,10.0,0.3,10.1,9.0,2.05,4,4.3,3.0,10.0,0,0,1,0,0,0,1,0,0,69.1
8,20.9,51.7,14.3,2.8,6.7,12.2,3.75,1,3.5,5.5,6.76,0,0,0,0,0,1,0,1,0,64.8
19,20.7,51.8,13.4,0.2,8.4,8.5,1.35,3,1.6,2.4,10.0,0,0,1,0,0,0,1,0,0,73.5
20,7.3,16.2,27.0,2.9,4.1,6.1,0.1,10,5.7,4.9,8.85,1,0,0,0,0,0,0,0,1,79.1
9,16.0,40.3,10.0,0.9,5.0,5.1,2.78,1,5.5,6.8,7.46,1,0,0,0,0,0,0,0,1,76.6
8,17.3,40.5,14.6,0.2,2.8,8.3,5.7,2,5.9,5.8,8.18,0,0,1,0,0,0,0,0,1,59.3
15,12.2,27.7,22.4,1.4,6.2,10.1,0.74,9,5.7,4.3,9.3,0,0,0,0,0,1,0,0,1,80.3
12,8.5,13.7,25.1,4.6,12.6,12.3,0.1,3,4.8,2.9,10.0,0,0,0,1,0,0,0,0,1,54.8
8,13.4,30.2,31.1,2.8,5.0,9.2,0.1,8,6.2,3.6,8.17,1,0,0,0,0,0,0,1,0,76.5
4,12.2,35.0,19.1,3.3,4.0,4.4,0.31,3,4.7,4.2,10.0,0,0,1,0,0,0,1,0,0,63.5
16,11.8,36.5,19.2,0.6,1.0,6.9,1.99,7,6.2,5.0,10.0,1,0,0,0,0,0,1,0,0,87.4
6,9.0,20.3,20.4,0.4,5.2,7.9,0.46,2,6.3,7.4,5.38,0,1,0,0,0,0,0,1,0,80.0
8,13.8,36.2,18.3,1.6,3.6,5.0,1.5,2,4.6,5.6,8.34,0,0,1,0,0,0,0,0,1,73.8
14,16.8,39.9,23.2,1.9,9.3,12.2,1.72,2,3.3,3.7,8.11,0,0,1,0,0,0,0,1,0,69.6
18,3.8,10.6,18.6,1.2,10.3,7.1,3.19,4,5.0,6.3,7.81,0,0,0,1,0,0,0,0,1,71.2
13,18.4,52.0,13.7,1.7,4.3,5.2,4.43,5,4.6,6.9,5.73,0,0,1,0,0,0,0,1,0,82.9
8,2.0,4.2,24.2,3.0,3.4,6.4,3.26,2,7.0,5.6,9.98,0,0,0,0,1,0,1,0,0,63.0
12,11.8,33.2,16.1,3.6,21.7,16.4,0.17,8,1.0,2.1,10.0,0,0,0,1,0,0,0,0,1,57.8
20,9.4,18.9,31.7,1.0,6.2,7.7,0.55,10,5.6,2.7,10.0,0,0,1,0,0,0,0,0,1,67.9
14,10.1,28.1,15.6,4.5,1.0,6.7,0.1,4,6.2,9.3,3.95,1,0,0,0,0,0,0,1,0,100.0
7,10.8,19.2,20.1,1.4,5.0,5.2,2.81,4,4.9,7.0,5.65,0,0,0,0,1,0,0,1,0,65.8
20,5.2,9.0,21.9,0.2,11.2,10.3,1.36,7,3.3,6.4,6.1,0,0,0,0,1,0,0,1,0,66.5
13,13.6,35.3,15.8,2.9,4.1,3.4,3.62,8,5.8,4.6,10.0,0,0,1,0,0,0,1,0,0,67.3
13,5.1,9.8,28.7,1.3,2.1,4.1,0.51,9,6.1,5.5,8.4,0,1,0,0,0,0,0,0,1,77.3
10,4.4,8.5,42.1,3.7,1.0,6.5,0.96,2,6.3,1.1,10.0,0,1,0,0,0,0,1,0,0,60.0
2,11.5,34.5,20.5,3.2,5.3,9.8,0.1,3,2.7,6.7,5.89,0,0,0,0,1,0,0,1,0,67.5
10,18.6,46.8,10.0,4.8,3.3,8.5,0.1,9,5.5,8.0,4.91,1,0,0,0,0,0,0,1,0,90.8
3,5.3,17.1,20.1,1.2,7.8,8.7,0.25,1,2.7,4.7,10.0,0,1,0,0,0,0,1,0,0,52.3
6,12.5,20.0,26.5,1.0,1.0,5.7,4.82,5,5.2,4.5,9.15,0,0,1,0,0,0,0,0,1,46.8
4,2.5,4.6,23.2,1.6,4.2,6.2,0.8,3,6.3,7.0,7.29,0,1,0,0,0,0,0,0,1,59.0
15,8.2,23.7,27.5,1.9,3.0,8.4,0.54,7,4.4,4.8,8.92,1,0,0,0,0,0,0,0,1,74.4
4,17.6,42.3,20.7,2.3,1.0,7.1,2.84,1,5.0,4.7,9.01,0,0,0,0,1,0,0,0,1,63.5
12,2.8,10.4,25.7,1.1,18.0,18.0,1.78,3,2.6,4.4,7.59,0,0,0,1,0,0,0,1,0,54.1
20,2.4,6.9,27.2,2.0,3.7,9.7,2.07,9,5.2,4.7,10.0,0,1,0,0,0,0,1,0,0,57.2
9,5.7,14.3,27.8,2.3,5.2,8.2,3.77,3,4.9,6.3,6.17,0,0,0,0,1,0,0,1,0,61.9
15,11.4,26.0,23.6,3.2,4.7,8.7,0.1,7,5.9,4.6,9.08,0,0,1,0,0,0,0,0,1,82.9
14,4.7,11.0,25.4,1.3,9.4,9.7,3.29,10,4.6,4.6,9.07,0,0,0,1,0,0,0,0,1,57.4
6,13.0,24.5,20.3,3.3,2.9,6.7,0.1,10,6.3,7.0,5.67,0,0,0,0,1,0,0,1,0,85.4
19,4.6,10.0,27.7,2.9,9.4,10.7,1.14,9,2.0,5.6,6.7,0,1,0,0,0,0,0,1,0,59.6
17,4.8,14.2,21.0,1.7,8.3,11.5,3.81,7,3.1,4.5,10.0,0,0,0,1,0,0,1,0,0,46.6
20,7.9,17.7,24.7,0.4,3.0,3.0,3.88,10,4.6,7.1,5.59,1,0,0,0,0,0,0,1,0,71.1
2,11.5,29.5,17.9,0.1,2.2,7.5,5.68,9,5.6,5.1,10.0,1,0,0,0,0,0,1,0,0,39.4
11,6.4,16.9,31.4,1.3,5.0,6.5,0.1,8,6.3,5.3,6.92,0,1,0,0,0,0,0,1,0,74.9
18,3.5,3.4,33.4,2.0,3.1,6.1,0.48,10,6.2,4.5,9.15,0,1,0,0,0,0,0,0,1,65.7
7,7.5,17.7,16.7,1.8,3.0,5.3,1.76,3,6.9,6.2,9.53,0,1,0,0,0,0,1,0,0,64.6
19,10.8,25.4,27.5,1.6,7.8,7.3,1.28,5,6.7,4.5,7.52,1,0,0,0,0,0,0,1,0,80.9
14,6.2,22.0,28.8,1.2,3.5,8.2,1.29,1,6.9,4.9,8.86,0,1,0,0,0,0,0,0,1,76.8
18,18.5,46.0,19.8,2.2,3.7,8.3,0.95,3,4.5,4.0,9.52,0,0,1,0,0,0,0,0,1,81.4
15,13.1,35.4,12.5,0.9,2.9,8.5,0.23,3,4.1,7.4,7.01,1,0,0,0,0,0,0,0,1,79.0
17,8.9,17.0,24.0,2.0,5.6,9.6,2.88,5,4.9,3.4,10.0,0,0,1,0,0,0,1,0,0,63.9
17,2.7,5.7,25.3,0.4,5.6,7.6,3.19,4,5.2,6.1,7.97,0,1,0,0,0,0,0,0,1,57.7
6,4.6,10.1,22.1,1.1,7.8,7.9,0.9,6,4.0,4.4,10.0,0,1,0,0,0,0,1,0,0,58.9
2,12.9,37.6,25.8,7.8,5.5,8.5,0.1,5,3.3,1.9,10.0,1,0,0,0,0,0,1,0,0,55.4
18,13.9,42.4,18.0,2.6,5.1,13.2,2.48,3,7.5,3.8,10.0,0,0,0,0,0,1,1,0,0,86.6
14,10.5,30.4,14.7,1.2,15.3,12.6,0.1,10,2.4,4.4,9.23,0,0,0,1,0,0,0,0,1,68.1
2,13.1,34.8,11.2,2.6,8.2,9.1,3.85,4,4.0,6.4,7.75,0,0,0,0,0,1,0,0,1,42.7
19,14.0,18.8,22.7,2.8,9.3,11.9,1.4,9,4.4,1.5,10.0,0,0,1,0,0,0,1,0,0,67.8
9,7.6,14.5,20.0,0.8,7.8,10.2,3.08,1,4.5,7.2,5.52,0,0,1,0,0,0,0,1,0,51.6
11,8.8,17.7,24.6,1.4,6.0,5.4,4.25,1,4.1,4.6,9.06,1,0,0,0,0,0,0,0,1,46.1
